HeartRate_mean,HeartRate_std,HeartRate_min,HeartRate_max,HeartRate_median,HeartRate_count,HeartRate_skew,HeartRate_kurtosis,HeartRateVariabilitySDNN_mean,HeartRateVariabilitySDNN_min,HeartRateVariabilitySDNN_max,HeartRateVariabilitySDNN_std,HeartRateVariabilitySDNN_median,OxygenSaturation_mean,OxygenSaturation_std,OxygenSaturation_min,OxygenSaturation_max,OxygenSaturation_median,RespiratoryRate_mean,RespiratoryRate_std,RespiratoryRate_min,RespiratoryRate_max,RespiratoryRate_median,sleep_bedrestDuration_day_median,sleep_bedrestDuration_day_min,sleep_bedrestDuration_day_max,sleep_bedrestDuration_day_std,sleep_sleepDuration_day_median,sleep_sleepDuration_day_min,sleep_sleepDuration_day_max,sleep_sleepDuration_day_std,sleep_sleepEfficiency_day_median,sleep_sleepEfficiency_day_min,sleep_sleepEfficiency_day_max,sleep_sleepEfficiency_day_std,sleep_sleepOnsetLatency_day_median,sleep_sleepOnsetLatency_day_min,sleep_sleepOnsetLatency_day_max,sleep_sleepOnsetLatency_day_std,sleep_sleepHR_day_median,sleep_sleepHR_day_min,sleep_sleepHR_day_max,sleep_sleepHR_day_std,sleep_sleepHRV_day_median,sleep_sleepHRV_day_min,sleep_sleepHRV_day_max,sleep_sleepHRV_day_std,sleep_sleep_day_count,sleep_bedrest_day_count,AppleExerciseTime_count,AppleExerciseTime_duration,ActiveEnergyBurned_sum,ActiveEnergyBurned_count,ActiveEnergyBurned_duration,StepCount_sum,StepCount_count,StepCount_duration
70.23491,14.63694,53.0,131.0,68.0,166.0,1.723843,4.1046143,0.033138417,0.010893053,0.080753654,0.013938886,0.029781327,0.96185714,0.015966568,0.91,0.99,0.96,14.178572,1.5666822,11.5,19.0,13.75,8.236368,7.872233,8.515198,0.2815389,6.4666667,5.9,7.2833333,0.47428587,0.7819353,0.7335353,0.8731421,0.05749639,1.0763289,0.83610475,1.3429191,0.15380509,58.0,54.0,59.0,2.0586634,0.026702015,0.025482535,0.047859658,0.009035083,7.0,7.0,360.0,6.0,26552652.0,10086.0,79.58591,83719.0,979.0,29.440786
65.10649,13.498811,52.0,144.0,63.0,145.0,3.4237535,13.988065,0.040012363,0.010229433,0.1448485,0.023055973,0.035187136,0.9663393,0.014611826,0.89,1.0,0.9675,14.323529,1.5537982,12.0,20.0,14.25,8.7703495,8.304541,10.848068,0.9302828,7.616667,3.15,8.75,1.9060081,0.80659527,0.35916469,0.95730764,0.19356726,0.43438026,0.12120695,3.8703496,1.4009281,57.5,54.0,59.0,2.1602468,0.031687982,0.026441256,0.045452353,0.00622514,7.0,7.0,357.0,5.95,17919728.0,9226.0,55.204975,39581.0,364.0,27.917038
75.60072,11.42099,57.0,135.0,74.0,331.0,1.2047888,3.2826,0.03637493,0.011408105,0.0831732,0.014742187,0.03331879,0.963642,0.030424213,0.88,1.0,0.97,15.425439,1.9613724,10.5,24.5,14.75,12.753849,9.011462,23.42816,3.6179194,7.608333,0.0,11.975,3.2863173,0.66639787,0.3457378,0.8743677,0.15724848,3.0940602,0.025,6.5922747,2.0001173,67.5,60.0,80.0,6.515134,0.041060388,0.029231276,0.05002147,0.0073201936,14.0,12.0,323.0,5.383333,14139740.0,42154.0,110.11859,106073.0,2069.0,44.68033
75.15388,12.779252,58.0,122.5,73.0,169.0,1.3384778,2.3478377,0.03665315,0.015610667,0.068040974,0.012415508,0.033245932,0.9615741,0.039997924,0.775,1.0,0.97,14.3277025,1.2035377,12.0,18.25,14.125,9.725734,9.342633,11.415012,0.85905355,7.975,6.1666665,8.625,0.92200285,0.75558394,0.6600566,0.86569,0.07830216,2.1483455,0.94836473,3.2502613,0.86190116,63.0,61.0,68.0,2.6367369,0.035425644,0.027398529,0.06315495,0.01303017,7.0,7.0,201.0,3.35,9330584.0,8970.0,81.348305,49705.0,1434.0,23.654858
63.50614,9.916458,49.0,104.5,63.0,163.0,1.342094,2.9544075,0.038503975,0.018055344,0.12816522,0.020080296,0.03135742,0.9616981,0.023883514,0.89,1.0,0.96,13.95283,2.7055216,10.5,21.0,12.75,9.614743,8.855833,13.631096,1.9940681,5.4416666,0.0,8.525,3.299107,0.65117157,0.39920977,0.88089633,0.18450092,2.33141,0.51930946,3.4167492,1.1732724,55.0,53.0,60.0,3.3166249,0.035856787,0.022009915,0.079755954,0.022807792,7.0,5.0,83.0,1.3833333,12063982.0,1537.0,90.82903,28117.0,443.0,26.894499
77.95599,12.823414,60.0,119.5,76.25,136.0,1.0796306,1.1574048,0.03287875,0.012869906,0.08133354,0.013223609,0.031359207,0.9618421,0.026288962,0.9,1.0,0.97,15.697762,1.6609014,12.0,20.5,15.0,9.310308,8.902859,11.153865,0.8350109,6.475,0.0,8.908334,2.8537395,0.675803,0.0,0.8770591,0.28959894,2.1543608,0.2861922,3.168642,1.1444757,65.0,63.0,79.0,6.0034714,0.03578067,0.02515442,0.055087388,0.010538458,7.0,7.0,135.0,2.25,6362788.5,6504.0,57.18905,48741.0,1271.0,21.625792
65.97677,10.378152,52.0,121.0,64.0,161.0,1.7943816,5.824824,0.031076575,0.012063626,0.09482904,0.016593471,0.025894105,0.9686986,0.012500761,0.94,1.0,0.97,15.736842,1.3843739,13.75,19.5,15.0,9.606706,7.1269913,10.094164,1.2949567,7.608333,5.6,8.325,0.9571179,0.8239161,0.7203542,0.95582575,0.07429342,1.6274976,0.10888028,2.4837193,0.7194734,56.0,53.16263,60.0,2.3938303,0.030048253,0.0192798,0.040730957,0.0065238657,7.0,7.0,228.0,3.8,9640451.0,9080.0,62.83044,52765.0,760.0,21.39008
77.40583,10.642498,59.0,121.0,79.0,310.0,0.4103751,0.38369468,0.031972956,0.0106293615,0.09047733,0.015067299,0.029526556,0.97036767,0.035934396,0.84,1.0,0.98,15.151613,2.0653875,12.0,20.5,14.5,12.487767,9.094173,14.257413,1.8575658,8.575,0.0,12.216666,3.59258,0.7161203,0.0,0.9128219,0.28996202,2.3380435,0.0,4.980792,1.5706857,66.0,60.0,80.0,6.598324,0.03626863,0.020927224,0.046801936,0.007741905,14.0,14.0,94.0,1.5666667,10251218.0,10189.0,118.507195,52784.0,1720.0,25.944283
70.55748,13.1339035,53.0,137.0,68.0,134.0,2.168908,6.3522215,0.04286645,0.01363589,0.12090079,0.025046462,0.03491776,0.95453125,0.036794096,0.86,1.0,0.96,13.564285,0.98582387,12.5,18.0,13.25,6.366667,3.775,10.908334,2.6086168,5.95,0.0,7.9666667,3.3154726,0.9534632,0.7303285,0.98250335,0.10262044,0.0,0.0,0.0,0.0,63.5,59.0,69.0,3.771935,0.030332245,0.024416758,0.059449032,0.013956613,7.0,5.0,130.0,2.1666667,15138109.0,7206.0,83.58356,39869.0,399.0,26.98137
65.798096,15.534177,50.0,144.0,62.5,152.0,3.1626751,11.5976095,0.053705133,0.012910752,0.10693164,0.020612385,0.051939964,0.9682609,0.021297298,0.9,1.0,0.97,13.601064,0.8496476,12.0,16.5,13.5,7.4583335,6.725,10.058333,1.5187774,6.45,0.0,9.75,3.5079699,0.90786517,0.82681566,0.9693455,0.057466917,0.0,0.0,0.17196111,0.07690334,56.0,55.0,64.0,3.8340578,0.067078315,0.044917285,0.08749141,0.015788745,6.0,5.0,285.0,4.75,17164040.0,6906.0,76.737755,48010.0,672.0,25.490942
